key,dwell_time
h,0.0579221248626709
e,0.17299652099609375
l,0.07471442222595215
l,0.06455731391906738
o,0.09136748313903809
Key.space,0.05791068077087402
i,0.08041572570800781
Key.space,0.06890392303466797
m,0.03763389587402344
a,0.16964340209960938
Key.space,0.07184195518493652
d,0.13263821601867676
Key.backspace,0.08512353897094727
s,0.14964747428894043
a,0.1968855857849121
m,0.06053805351257324
r,0.11700892448425293
u,0.08484411239624023
d,0.15113234519958496
d,0.13515019416809082
h,0.06403183937072754
i,0.08161401748657227
Key.space,0.0645751953125
Key.esc,0.2512643337249756
